config_key,value,type,description
event_duration_days,10,int,이벤트 총 기간
ball_debug_start,6,int,로컬 테스트 시작 구슬 수
ball_per_normal,1,int,일반 레벨 클리어 지급
ball_per_hard,3,int,하드 레벨 클리어 지급
ball_per_superhard,5,int,슈퍼하드 레벨 클리어 지급
ball_event_bonus,6,int,이벤트 시작 보너스
bumper_count,7,int,핀볼 보드 범퍼 수
bumper_token_value,10,int,범퍼 1회 히트 토큰
bumper_gauge_max,7,int,라운드당 범퍼 히트 상한
bumper_bonus_token,10,int,게이지 최대 달성 시 보너스 토큰
dragon_count,4,int,이벤트당 드래곤 수
dragon_stage_count,3,int,드래곤당 단계 수
multiplier_options,"1,5,10,50",string,구슬 배율 선택지
slot_lerp_duration_ms,400,int,슬롯 유도 Lerp 시간
bot_min_interval_ms,30000,int,봇 기여 최소 간격 (30초)
bot_max_interval_ms,60000,int,봇 기여 최대 간격 (60초)
bot_min_token,50,int,봇 1회 최소 기여 토큰
bot_max_token,200,int,봇 1회 최대 기여 토큰
grand_prize_bundle_id,9999,int,Grand Prize 보상 번들 ID
