obstacle_id,type,cx,cy,radius,reward_type,reward_amount
reward_L,circle,90,150,30,Coin,1660000
reward_C,circle,180,100,28,Dice,20
reward_R,circle,270,150,30,Dice,20
top_L_1,pin,70,60,5,,
top_R_1,pin,290,60,5,,
top_L_2,pin,120,40,5,,
top_R_2,pin,240,40,5,,
top_L_3,pin,165,30,5,,
top_R_3,pin,195,30,5,,
arrow_L_top,triangle,0,80,32,None,0
arrow_R_top,triangle,360,80,32,None,0
arrow_L_mid,triangle,0,210,32,None,0
arrow_R_mid,triangle,360,210,32,None,0
arrow_L_bot,triangle,0,330,32,None,0
arrow_R_bot,triangle,360,330,32,None,0
diamond_L1,diamond,100,320,5,None,0
diamond_L2,diamond,140,320,5,None,0
diamond_bot,diamond,180,320,5,None,0
diamond_R1,diamond,220,320,5,None,0
diamond_R2,diamond,260,320,5,None,0
mid_L_2,pin,100,240,5,,
mid_R_2,pin,260,240,5,,
mid_L_3,pin,150,280,5,,
mid_R_3,pin,210,280,5,,
mid_L_4,pin,165,210,5,,
mid_R_4,pin,195,210,5,,
bump_0,rect,51,366,5,None,0
bump_1,rect,103,366,5,None,0
bump_2,rect,154,366,5,None,0
bump_3,rect,206,366,5,None,0
bump_4,rect,257,366,5,None,0
bump_5,rect,309,366,5,None,0
