key,value,attr_type
dice,1000,number
pos,0,number
pos_old,0,number
money,1000000,number
money_gain,0,number
roll,0,number
current_stage_index,1,number
chance_rand,0,number
jail_attempts,0,number
d1,0,number
d2,0,number
stage_id,1,number
current_stage_scale,1.0,number
current_stage_shutdown_base_reward,0,number
current_stage_shutdown_hit_rate,0,number
current_stage_shutdown_blocked_rate,0,number
current_stage_heist_reward_small,0,number
current_stage_heist_reward_medium,0,number
current_stage_heist_reward_large,0,number
current_stage_heist_rate_small,0,number
current_stage_heist_rate_medium,0,number
current_stage_heist_rate_large,0,number
jail_fine,4,number
max_deduction_ratio,1,number
tax_low_value,2,number
tax_high_value,4,number
go_reward,2,number
park_reward,10,number
community_reward,5,number
motivation,1000,number
stage.chance_dice_base,5,number
tile_name,0,number
target_tile_name,0,number
tile_go,{{tile_go.display_name}},string
