stage_id,scale,shutdown_base_reward,shutdown_hit_rate,shutdown_blocked_rate,heist_reward_small,heist_reward_medium,heist_reward_large,heist_rate_small,heist_rate_medium,heist_rate_large,chance_dice_base
1,1.0,100000,1.0,0.25,50000,150000,500000,0.6,0.3,0.1,5
2,1.2,120000,1.0,0.25,60000,180000,600000,0.6,0.3,0.1,10
3,1.5,150000,1.0,0.25,75000,225000,750000,0.6,0.3,0.1,15
4,2.0,200000,1.0,0.25,100000,300000,1000000,0.6,0.3,0.1,20
5,3.0,300000,1.0,0.25,150000,450000,1500000,0.6,0.3,0.1,25
6,5.0,500000,1.0,0.25,250000,750000,2500000,0.6,0.3,0.1,30
7,8.0,800000,1.0,0.25,400000,1200000,4000000,0.6,0.3,0.1,35
8,12.0,1200000,1.0,0.25,600000,1800000,6000000,0.6,0.3,0.1,40
9,20.0,2000000,1.0,0.25,1000000,3000000,10000000,0.6,0.3,0.1,45
10,50.0,5000000,1.0,0.25,2500000,7500000,25000000,0.6,0.3,0.1,50
