tile_index,tile_type,base_reward,display_name,icon
0,GO,0,시작,!
1,LAND_S1,10000,1단계,1
2,COMMUNITY,0,사회기금,C
3,LAND_S1,10000,1단계,1
4,TAX_LOW,0,세금(저),x
5,STATION,0,정거장,S
6,LAND_S2,15000,2단계,2
7,CHANCE,5000,복불복,?
8,LAND_S2,15000,2단계,2
9,LAND_S2,15000,2단계,2
10,CORNER_VISIT,5000,기차역,v
11,LAND_S3,20000,3단계,3
12,UTILITY_1,8000,전력,u
13,LAND_S3,20000,3단계,3
14,LAND_S3,20000,3단계,3
15,STATION,0,정거장,S
16,LAND_S4,30000,4단계,4
17,COMMUNITY,0,사회기금,C
18,LAND_S4,30000,4단계,4
19,LAND_S4,30000,4단계,4
20,CORNER_PARK,0,주차장,p
21,LAND_S5,40000,5단계,5
22,CHANCE,5000,복불복,?
23,LAND_S5,40000,5단계,5
24,LAND_S5,40000,5단계,5
25,STATION,0,정거장,S
26,LAND_S6,55000,6단계,6
27,LAND_S6,55000,6단계,6
28,UTILITY_2,8000,수자원,u
29,LAND_S6,55000,6단계,6
30,CORNER_JAIL,0,감옥,J
31,LAND_S7,70000,7단계,7
32,LAND_S7,70000,7단계,7
33,COMMUNITY,0,사회기금,C
34,LAND_S7,70000,7단계,7
35,STATION,0,정거장,S
36,CHANCE,5000,복불복,?
37,LAND_S8,90000,8단계,8
38,TAX_HIGH,0,세금(고),X
39,LAND_S8,90000,8단계,8
