stage_id,stage_name,stage_order,reward_scale,unlock_condition,theme_asset_id,tile_config_stage_id,shutdown_base_reward,shutdown_hit_rate,shutdown_blocked_rate,heist_rate_small,heist_rate_medium,heist_rate_large,heist_reward_small,heist_reward_medium,heist_reward_large
1,한양,1,1.0,default,theme_hanyang,1,"100000",1.0,0.25,0.60,0.30,0.10,"50000","150000","500000"
2,낙양,2,1.3,prev_stage_clear,theme_nakyang,2,"130000",1.0,0.25,0.60,0.30,0.10,"65000","195000","650000"
3,장안,3,1.6,prev_stage_clear,theme_jangan,3,"160000",1.0,0.25,0.60,0.30,0.10,"80000","240000","800000"
4,성도,4,2.0,prev_stage_clear,theme_seongdo,4,"200000",1.0,0.25,0.60,0.30,0.10,"100000","300000","1000000"
5,업성,5,2.5,prev_stage_clear,theme_eobseong,5,"250000",1.0,0.25,0.60,0.30,0.10,"125000","375000","1250000"
6,건업,6,3.0,prev_stage_clear,theme_geoneo,6,"300000",1.0,0.25,0.60,0.30,0.10,"150000","450000","1500000"
7,형주,7,3.6,prev_stage_clear,theme_hyeongju,7,"360000",1.0,0.25,0.60,0.30,0.10,"180000","540000","1800000"
8,수춘,8,4.3,prev_stage_clear,theme_suchun,8,"430000",1.0,0.25,0.60,0.30,0.10,"215000","645000","2150000"
9,합비,9,5.0,prev_stage_clear,theme_hapbi,9,"500000",1.0,0.25,0.60,0.30,0.10,"250000","750000","2500000"
10,관도,10,6.0,prev_stage_clear,theme_gwando,10,"600000",1.0,0.25,0.60,0.30,0.10,"300000","900000","3000000"
