reward_config_id,event_id,rank_from,rank_to,bundle_id,season_coins
30001,20001,1,1,1004,20
30002,20001,2,2,1003,18
30003,20001,3,3,1002,16
30004,20001,4,4,1002,14
30005,20001,5,5,1001,12
30006,20001,6,6,1001,10
30007,20001,7,7,1001,8
30008,20001,8,8,1001,6
30009,20001,9,9,1001,4
30010,20001,10,10,1001,2
30011,20001,11,11,1001,1
30012,20001,12,12,1001,1
30013,20001,13,13,1001,1
30014,20001,14,14,1001,1
30015,20001,15,15,1001,1
30016,20001,16,16,1001,1
30017,20001,17,17,1001,1
30018,20001,18,18,1001,1
30019,20001,19,19,1001,1
30020,20001,20,20,1001,1
30021,20001,21,21,1001,1
30022,20001,22,22,1001,1
30023,20001,23,23,1001,1
30024,20001,24,24,1001,1
30025,20001,25,25,1001,1
30026,20001,26,26,1001,1
30027,20001,27,27,1001,1
30028,20001,28,28,1001,1
30029,20001,29,29,1001,1
30030,20001,30,30,1001,1
30031,20001,31,31,1001,1
30032,20001,32,32,1001,1
30033,20001,33,33,1001,1
30034,20001,34,34,1001,1
30035,20001,35,35,1001,1
