skill_id,level,dmg_mult_scale,cooldown_reduce_rate,passive_bonus_value
kunai,1,1.0,0.00,0
kunai,2,1.2,0.05,0
kunai,3,1.5,0.10,0
kunai,4,1.8,0.15,0
kunai,5,2.2,0.20,0
boomerang,1,1.0,0.00,0
boomerang,2,1.2,0.05,0
boomerang,3,1.5,0.10,0
boomerang,4,1.8,0.15,0
boomerang,5,2.2,0.20,0
molotov,1,1.0,0.00,0
molotov,2,1.2,0.05,0
molotov,3,1.5,0.10,0
molotov,4,1.8,0.15,0
molotov,5,2.2,0.20,0
guardian,1,1.0,0.00,0
guardian,2,1.2,0.05,0
guardian,3,1.5,0.10,0
guardian,4,1.8,0.15,0
guardian,5,2.2,0.20,0
rocket,1,1.0,0.00,0
rocket,2,1.2,0.05,0
rocket,3,1.5,0.10,0
rocket,4,1.8,0.15,0
rocket,5,2.2,0.20,0
drone,1,1.0,0.00,0
drone,2,1.2,0.05,0
drone,3,1.5,0.10,0
drone,4,1.8,0.15,0
drone,5,2.2,0.20,0
ninjaScroll,1,0,0,0.15
ninjaScroll,2,0,0,0.30
ninjaScroll,3,0,0,0.45
ninjaScroll,4,0,0,0.60
ninjaScroll,5,0,0,0.75
elasticShoes,1,0,0,0.10
elasticShoes,2,0,0,0.20
elasticShoes,3,0,0,0.30
elasticShoes,4,0,0,0.40
elasticShoes,5,0,0,0.50
highFuel,1,0,0,8
highFuel,2,0,0,16
highFuel,3,0,0,24
highFuel,4,0,0,32
highFuel,5,0,0,40
exoskeleton,1,0,0,0.20
exoskeleton,2,0,0,0.40
exoskeleton,3,0,0,0.60
exoskeleton,4,0,0,0.80
exoskeleton,5,0,0,1.00
soccer_ball,1,1.0,0.00,0
soccer_ball,2,1.2,0.05,0
soccer_ball,3,1.5,0.10,0
soccer_ball,4,1.8,0.15,0
soccer_ball,5,2.2,0.20,0
drill_shot,1,1.0,0.00,0
drill_shot,2,1.2,0.05,0
drill_shot,3,1.5,0.10,0
drill_shot,4,1.8,0.15,0
drill_shot,5,2.2,0.20,0
dimensional_blade,1,1.0,0.00,0
dimensional_blade,2,1.2,0.05,0
dimensional_blade,3,1.5,0.10,0
dimensional_blade,4,1.8,0.15,0
dimensional_blade,5,2.2,0.20,0
debuff_aura,1,1.0,0.00,0
debuff_aura,2,1.2,0.05,0
debuff_aura,3,1.5,0.10,0
debuff_aura,4,1.8,0.15,0
debuff_aura,5,2.2,0.20,0

