stage,wave_id,start_time_seconds,spawn_interval_frames,max_enemies,rate_basic,rate_dog,rate_bloater,rate_spitter
1,1,0,20,130,0.85,0.15,0.00,0.00
1,2,30,16,180,0.70,0.30,0.00,0.00
1,3,60,13,230,0.60,0.25,0.15,0.00
1,4,90,10,290,0.55,0.25,0.20,0.00
2,1,0,20,130,0.65,0.20,0.10,0.05
2,2,30,16,180,0.50,0.25,0.15,0.10
2,3,60,13,230,0.40,0.25,0.20,0.15
2,4,90,10,290,0.35,0.20,0.25,0.20
3,1,0,20,130,0.55,0.20,0.15,0.10
3,2,30,16,180,0.42,0.20,0.22,0.16
3,3,60,13,230,0.32,0.18,0.27,0.23
3,4,90,10,290,0.27,0.15,0.30,0.28
4,1,0,20,130,0.48,0.17,0.20,0.15
4,2,30,16,180,0.36,0.16,0.26,0.22
4,3,60,13,230,0.26,0.14,0.32,0.28
4,4,90,10,290,0.20,0.12,0.36,0.32
5,1,0,20,130,0.40,0.15,0.25,0.20
5,2,30,16,180,0.30,0.15,0.30,0.25
5,3,60,13,230,0.22,0.13,0.35,0.30
5,4,90,10,290,0.16,0.10,0.40,0.34
6,1,0,20,130,0.32,0.12,0.30,0.26
6,2,30,16,180,0.24,0.12,0.35,0.29
6,3,60,13,230,0.16,0.10,0.40,0.34
6,4,90,10,290,0.12,0.08,0.44,0.36
7,1,0,20,130,0.25,0.10,0.33,0.32
7,2,30,16,180,0.18,0.10,0.38,0.34
7,3,60,13,230,0.12,0.08,0.43,0.37
7,4,90,10,290,0.08,0.06,0.47,0.39
8,1,0,20,130,0.18,0.08,0.38,0.36
8,2,30,16,180,0.12,0.08,0.42,0.38
8,3,60,13,230,0.08,0.07,0.46,0.39
8,4,90,10,290,0.05,0.05,0.50,0.40
9,1,0,20,130,0.12,0.07,0.42,0.39
9,2,30,16,180,0.08,0.06,0.47,0.39
9,3,60,13,230,0.05,0.05,0.50,0.40
9,4,90,10,290,0.03,0.05,0.52,0.40
10,1,0,20,130,0.08,0.06,0.46,0.40
10,2,30,16,180,0.05,0.05,0.50,0.40
10,3,60,13,230,0.02,0.04,0.54,0.40
10,4,90,10,290,0.00,0.03,0.57,0.40
